job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type,year,month,month_name,country
Lead Data Scientist,Infosys,"Phoenix, AZ",2024-01-14,Peoria,United States,Microbiologist,Mid-Senior,Onsite,2024,1,January,United States
Tt Assistant Professor - Data Science,University Of New Haven,"West Haven, CT",2024-01-14,Shelton,United States,Instructor,Mid-Senior,Onsite,2024,1,January,United States
"Senior Manager, Machine Learning Engineering",Jobs For Humanity,"Harrisonburg, VA",2024-01-14,Plains,United States,Vendor,Mid-Senior,Onsite,2024,1,January,United States
Associate Sas Data Analyst (Placement),Celerion,"Belfast, Northern Ireland, United Kingdom",2024-01-14,Belfast,United Kingdom,Data Entry Clerk,Mid-Senior,Onsite,2024,1,January,United Kingdom
"Iib, Datapower/Apic Lead Developer",Extend Information Systems Inc.,"Richardson, TX",2024-01-15,McKinney,United States,Color Developer,Mid-Senior,Onsite,2024,1,January,United States
Senior Database Administrator,Professional Diversity Network,"Washington, DC",2024-01-14,Saint Charles,United States,Data Base Administrator,Mid-Senior,Onsite,2024,1,January,United States
"Staff Machine Learning Engineer, Series A",Recruiting From Scratch,"Boston, MA",2024-01-16,Ipswich,United States,Programmer Engineering And Scientific,Mid-Senior,Onsite,2024,1,January,United States
Database Engineer,Pierce,"Melbourne, FL",2024-01-14,Melbourne,United States,Agricultural-Research Engineer,Mid-Senior,Onsite,2024,1,January,United States
Data Engineer,Verigent,"Washington, DC",2024-01-16,Alexandria,United States,Engine-Testing Supervisor,Mid-Senior,Onsite,2024,1,January,United States
Enrollment Management Crm & Data Specialist,Harris-Stowe State University,"St Louis, MO",2024-01-14,Collinsville,United States,Director Education,Mid-Senior,Onsite,2024,1,January,United States
"Summer Fellow - Project Management, Data Analytics, Strategy, Operations",Education Pioneers,"Chicago, IL",2024-01-14,Niles,United States,Charter,Mid-Senior,Onsite,2024,1,January,United States
"Senior Data Scientist, Product Growth",Jerry,"Toronto, Ontario, Canada",2024-01-14,Brampton,Canada,Microbiologist,Mid-Senior,Onsite,2024,1,January,Canada
Mls Dayshift Lead - Short Pump Emergency Center,Bon Secours,"Henrico, VA",2024-01-16,Virginia,United States,Supervisor Instrument Maintenance,Mid-Senior,Onsite,2024,1,January,United States
Azure Data Architect,Veear Projects Inc.,"Sacramento, CA",2024-01-12,Roseville,United States,Architect,Associate,Onsite,2024,1,January,United States
Senior Marketing Data Operations Specialist,Baker Tilly Us,"Houston, TX",2024-01-15,Baytown,United States,Baker,Associate,Onsite,2024,1,January,United States
Clinical Data Analyst/Coordinator,Lvis,"Palo Alto, CA",2024-01-16,Redwood City,United States,Mathematician,Associate,Onsite,2024,1,January,United States
Mechanical Supervisor - Mlc 2312,Energy Jobline,"Harwell, England, United Kingdom",2024-01-14,Reading,United Kingdom,Electrical Supervisor,Mid-Senior,Onsite,2024,1,January,United Kingdom
Commissioning Senior Specialist - Data Center (Travel Required),Olsson,"Omaha, NE",2024-01-14,Nebraska,United States,Travel Agent,Mid-Senior,Onsite,2024,1,January,United States
"Manager, Data Engineering",Paramount+,"Fort Lauderdale, FL",2024-01-14,Fort Lauderdale,United States,Director Social,Mid-Senior,Onsite,2024,1,January,United States
Data Conversion & Integration Support Lead,Stevens Institute Of Technology,"Hoboken, NJ",2024-01-14,White Plains,United States,Director Stage,Mid-Senior,Onsite,2024,1,January,United States
Sr. Data Scientist,Mantech,"Sterling, VA",2024-01-16,Silver Spring,United States,Mathematician,Mid-Senior,Onsite,2024,1,January,United States
Data Security Analyst,Robert Half,"Plano, TX",2024-01-14,McKinney,United States,Data Entry Clerk,Mid-Senior,Onsite,2024,1,January,United States
Data Analytics Audit Project Manager,U.S. Bank,"Atlanta, GA",2024-01-14,Duluth,United States,Manager Stage,Mid-Senior,Onsite,2024,1,January,United States
Head Of Data Science - Actuary/Risk,Harnham,Buffalo-Niagara Falls Area,2024-01-14,East Aurora,United States,Principal,Mid-Senior,Onsite,2024,1,January,Other
